Altium Designer Pick and Place Locations
D:\Work\Outsource\Mash-Unit\MU-RK3576J-MB\MU-RK3576J-MB\Project\Project Outputs for WM620-FA\Pick Place for MU-RK3576J-MB(MU-RK3576J-MB_MEDIAPLAYER).txt

========================================================================================================================
File Design Information:

Date:       18.06.26
Time:       00:38
Revision:   565ab68ce903e9d283ca9fb6306d9a29e483809e
Variant:    MU-RK3576J-MB_MEDIAPLAYER
Units used: mm

Designator Comment                  Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                          
R341       3M±1%                    TopLayer    R1206                   61.9801      26.7803      270      "Chip Resistor 1206 3M? ±1% 200V ±100ppm/? Thick Film"                                               
R340       75R±1%                   BottomLayer R0603                   80.1387      18.6120      270      *                                                                                                    
R339       75R±1%                   BottomLayer R0603                   83.9600      18.6120      270      *                                                                                                    
R338       75R±1%                   BottomLayer R0603                   87.7631      18.6120      270      *                                                                                                    
R337       75R±1%                   BottomLayer R0603                   91.5735      18.6120      270      *                                                                                                    
R336       91R±5%                   BottomLayer R2010                   73.6552      18.9520      0        "Chip Resistor 2010 0? ±5% 200V ±200ppm/? Thick Film"                                                
R335       0R±5%                    TopLayer    R1206                   58.9701      27.7085      180      ""                                                                                                   
R334       26.1K±1%                 TopLayer    R0603                   60.5415      18.9260      90       ""                                                                                                   
R333       75R±1%                   BottomLayer R0603                   80.1500      27.5750      270      *                                                                                                    
R332       0R±5%                    TopLayer    R1206                   58.9378      21.4713      180      ""                                                                                                   
R331       10K±5%                   TopLayer    R1206                   52.5124      17.8936      180      ""                                                                                                   
R330       75R±1%                   BottomLayer R0603                   83.9600      27.5750      270      *                                                                                                    
R329       10K±5%                   BottomLayer R0402                   77.8066      26.3920      0        ""                                                                                                   
R328       75R±1%                   BottomLayer R0603                   87.7700      27.5750      270      *                                                                                                    
R327       10K±5%                   BottomLayer R0402                   77.8066      25.4189      0        ""                                                                                                   
R326       10K±5%                   BottomLayer R0402                   77.8030      27.4000      0        ""                                                                                                   
